1021更新,#genre#
忘情水,https://vd4.bdstatic.com/mda-nh62ny70ygcrkqei/sc/cae_h264/1659837698476018530/mda-nh62ny70ygcrkqei.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101837-0-0-03dff39345ad6ad325f0aabeaf0be18b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2037763042&vid=10913827223696619532&abtest=104959_2&klogid=2037763042
多年以后,https://vd2.bdstatic.com/mda-nhh1k0x48y6yf3t3/sc/cae_h264/1660786840444964591/mda-nhh1k0x48y6yf3t3.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101804-0-0-8ba930de76cc5f3b35b8f9073082ffac&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2004519209&vid=3326032770398347186&abtest=104959_2&klogid=2004519209
甜蜜蜜,https://vd4.bdstatic.com/mda-nhi1q4truesxqxuq/sc/cae_h264/1660894451896075956/mda-nhi1q4truesxqxuq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101805-0-0-b1b6b0e18c48cfe742014dddfdc77133&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2005929589&vid=18056024416716518085&abtest=104959_2&klogid=2005929589
天若有情,https://vd2.bdstatic.com/mda-nhh1j64camascxp2/sc/cae_h264/1660787144539170631/mda-nhh1j64camascxp2.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101810-0-0-e485e889f4d4ab779b993394a87911e0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2010581087&vid=2687977488994785560&abtest=104959_2&klogid=2010581087
人在江湖飘,https://vd4.bdstatic.com/mda-nhf27b3w57cm1nrd/sc/cae_h264/1660614424353653538/mda-nhf27b3w57cm1nrd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101815-0-0-9fd6c5e081dc68e0378650432515d172&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2015895646&vid=14988028202364241845&abtest=104959_2&klogid=2015895646
新打工谣,https://vd2.bdstatic.com/mda-nhf1qhwsx4yqg8ba/sc/cae_h264/1660612695026252891/mda-nhf1qhwsx4yqg8ba.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101981-0-0-f7a9f36ae5526c706b9ce6a0d62e2690&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2181249234&vid=13476380673677624546&abtest=104959_2&klogid=2181249234
相信自己,https://vd4.bdstatic.com/mda-nhf26m5qahazv0pt/sc/cae_h264/1660624588334006692/mda-nhf26m5qahazv0pt.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101817-0-0-5dd347aaab96f1806c8ed0652d90abe3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2017923550&vid=3478434072691654472&abtest=104959_2&klogid=2017923550
你家在哪里,https://vd2.bdstatic.com/mda-nhd1v3mfknip2yaq/sc/cae_h264/1660443604976382547/mda-nhd1v3mfknip2yaq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101821-0-0-5ab66ca1093d26f6bc71c4328d5a284e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2021370123&vid=4108798918356974830&abtest=104959_2&klogid=2021370123
红尘有你,https://vd3.bdstatic.com/mda-nhb1nx8k4xfsep3n/sc/cae_h264/1660283807001164457/mda-nhb1nx8k4xfsep3n.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101822-0-0-8b54e69c80096e7d53c7aff1d0e598fc&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2022951701&vid=9081027338093963157&abtest=104959_2&klogid=2022951701
难以抗拒,https://vd4.bdstatic.com/mda-nh828hkpw7ub76je/sc/cae_h264/1660049894627792209/mda-nh828hkpw7ub76je.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101830-0-0-2000922402ab68c94c5de8d559b08e31&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2030182590&vid=2610008648867092025&abtest=104959_2&klogid=2030182590
像我这样的人,https://vd3.bdstatic.com/mda-nh92ui5u5nq5ycjd/sc/cae_h264/1660097445710337336/mda-nh92ui5u5nq5ycjd.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101832-0-0-d23a87c754f339fb81f0174549b59dc6&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2032927484&vid=731164549559976541&abtest=104959_2&klogid=2032927484
父亲,https://vd3.bdstatic.com/mda-nh62mqmbifuar8rz/sc/cae_h264/1659859426354262394/mda-nh62mqmbifuar8rz.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666101836-0-0-b362200023ed93fb33fa1975962fdd1d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2036454512&vid=8594200827217631217&abtest=104959_2&klogid=2036454512
逆战,https://vd3.bdstatic.com/mda-ngw38rsr5j7vkyua/sc/cae_h264/1659234306857407468/mda-ngw38rsr5j7vkyua.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102158-0-0-cee40a86f49a348e7903c7eaef7ab27c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2357971376&vid=17434268547560777667&abtest=104959_2&klogid=2357971376
梁祝,https://vd4.bdstatic.com/mda-jmwnmgpdwytsdpqr/v1-cae/sc/mda-jmwnmgpdwytsdpqr.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666102301-0-0-69cefa52966e83f6628e03cc2441a11a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2501183271&vid=4023744792679793088&abtest=104959_2&klogid=2501183271
整理测试——【公众号：放学回家看电视】
本资源仅作为个人JDK学习测试之用，请勿作商业之用
牛批,#genre#
开挂特工,https://vd3.bdstatic.com/mda-nhkaqyfkkqknufk6/720p/h264/1661067426236670869/mda-nhkaqyfkkqknufk6.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156291-0-0-60af4565dac013ac50f3061aa002545a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2491168407&vid=11623002899654424074&abtest=104959_2&klogid=2491168407
男人闯进山洞1,https://vd2.bdstatic.com/mda-njgb3dcnrnznaraq/sc/cae_h264/1665993393814242015/mda-njgb3dcnrnznaraq.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156318-0-0-90005a9758664c6635940e875fe61242&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2518100189&vid=2789100418890781673&abtest=104959_2&klogid=2518100189
男人闯进山洞2,https://vd4.bdstatic.com/mda-njgayyk0wyst7tc6/sc/cae_h264/1665993007925661401/mda-njgayyk0wyst7tc6.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156318-0-0-92fc7051f5eac659dced58097fbf15b1&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2518845553&vid=10714675870484077605&abtest=104959_2&klogid=2518845553
男人闯进山洞3,https://vd2.bdstatic.com/mda-njgask6d2a7tpwhj/sc/cae_h264/1665992545405801816/mda-njgask6d2a7tpwhj.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156319-0-0-0f6487ff962ccbaeb498c9c0bb242b8a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2519755794&vid=7343869248920026063&abtest=104959_2&klogid=2519755794
万能鼠标,https://vd2.bdstatic.com/mda-nh6ebtjcjj3i5jny/sc/cae_h264/1659869389624007720/mda-nh6ebtjcjj3i5jny.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156083-0-0-1fce29a396a1f41a53d01571705038f0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2283596065&vid=18142545871186629046&abtest=104959_2&klogid=2283596065
30年后的手机,https://vd4.bdstatic.com/mda-nhi9wx4gtgfy1nsk/sc/cae_h264/1660895200332389323/mda-nhi9wx4gtgfy1nsk.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666156268-0-0-593983a2ed206ba692a3758b07113a56&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2468171582&vid=13721233155318221262&abtest=104959_2&klogid=2468171582
神奇滤镜,https://vd2.bdstatic.com/mda-ngkfigax7c7tu72r/sc/cae_h264/1658403192060107999/mda-ngkfigax7c7tu72r.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666288580-0-0-aa5f1f82d4226512f3e8a638dce81f02&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1580066830&vid=8684655393891414703&abtest=104959_2&klogid=1580066830
三哥开挂，秒天秒地秒空气,https://vd4.bdstatic.com/mda-nekbpnsy5ewaybsm/720p/h264/1653121096564527418/mda-nekbpnsy5ewaybsm.mp4?v_from_s=hkapp-haokan-hbf&auth_key=1666249293-0-0-1970a310665c453e7b7b885b84151d1d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1893868197&vid=14129867130331189268&abtest=104959_1&klogid=1893868197

阿三情圣,https://vd3.bdstatic.com/mda-jdiqgta7qe5wkipc/sc/mda-jdiqgta7qe5wkipc.mp4?v_from_s=hkapp-haokan-hbf&auth_key=1666249420-0-0-7e589b3f0752511f008979932da43f02&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2020888983&vid=16846916391055505251&abtest=104959_1&klogid=2020888983
三哥高能神剧,https://vd4.bdstatic.com/mda-ka0vgf1fw765wz3f/v1-cae/sc/mda-ka0vgf1fw765wz3f.mp4?v_from_s=hkapp-haokan-hbf&auth_key=1666249491-0-0-408456cac11e61
犯罪的最高境界1,https://vd3.bdstatic.com/mda-ni2h9h2pbsqmce17/sc/cae_h264/1662207375725657517/mda-ni2h9h2pbsqmce17.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666289907-0-0-4dca67c2f32ca8e2935ddeb5bbde8a37&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2907842079&vid=2363125477193703644&abtest=104959_2&klogid=2907842079d66387b244f7d8fb78e732fec350b91c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2734950562&vid=5327433905264664779&abtest=104959_2&klogid=2734950562
犯罪的最高境界2,https://vd2.bdstatic.com/mda-ni2h6q10qns6my3e/sc/cae_h264/1662209118690099725/mda-ni2h6q10qns6my3e.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666289926-0-0-247eb0c53becda2b40282250d78d046e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2926845664&vid=5327433905264664779&abtest=104959_2&klogid=2926845664
犯罪的最高境界3,https://vd4.bdstatic.com/mda-ni2h5sa6dw147h8v/sc/cae_h264/1662208721633948609/mda-ni2h5sa6dw147h8v.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666289856-0-0-2de7bb6b2519341071b19eace28cf66c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2856192490&vid=9927334816880890702&abtest=104959_2&klogid=2856192490
冰箱内的迷你世界1,https://vd3.bdstatic.com/mda-ng64ufn61z8s0ydv/sc/cae_h264/1657198509089939707/mda-ng64ufn61z8s0ydv.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666290449-0-0-9aa8fef8a9794d63a50d8bc3091f9dbf&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3449185798&vid=17055686113525056057&abtest=104959_2&klogid=3449185798
冰箱内的迷你世界2,https://vd4.bdstatic.com/mda-ng64ta1d4gut2ivs/sc/cae_h264/1657192383457972206/mda-ng64ta1d4gut2ivs.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666290191-0-0-76015cf4d23450630574e72465883fc0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3190978137&vid=3648669627970149875&abtest=104959_2&klogid=3190978137
冰箱内的迷你世界3,https://vd2.bdstatic.com/mda-ng64qmygaphxydmw/sc/cae_h264/1657195329186630431/mda-ng64qmygaphxydmw.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666290093-0-0-dee2949b61985d0f147d2c16c022fd5e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3093749171&vid=6974879324600642313&abtest=104959_2&klogid=3093749171
岛国末日生存1,https://vd3.bdstatic.com/mda-nfefqdfv15pf5vup/sc/cae_h264/1655292964274081968/mda-nfefqdfv15pf5vup.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666291885-0-0-cef162fe021cb83586db02ec53d85b9e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1285421668&vid=1373455815919040944&abtest=104959_2&klogid=1285421668
岛国末日生存2,https://vd2.bdstatic.com/mda-nfefqjcgy25jerfh/sc/cae_h264/1655293464119367075/mda-nfefqjcgy25jerfh.mp4?v_from_s=hkapp-haokan-nanjing&auth_key=1666291939-0-0-
4901247223c960baf35b4d14c5959897&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=1339339949&vid=61654558545445456&abtest=104959_2&klogid=1339339949
央视频道,#genre#
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225753/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225756/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.134.115.221:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.134.115.221:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.134.115.221:8080/PLTV/88888910/224/3221225641/index.m3u8
CETV,http://39.134.115.221:8080/PLTV/88888910/224/3221225661/index.m3u8
CGTN,http://39.134.115.221:8080/PLTV/88888910/224/3221225747/index.m3u8
CGTN记录,http://39.134.115.221:8080/PLTV/88888910/224/3221225645/index.m3u8
CNC,http://39.134.115.221:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC2,http://39.134.115.221:8080/PLTV/88888910/224/3221225694/index.m3u8
CCTV1,http://219.142.151.179:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://219.142.151.179:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://219.142.151.179:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://219.142.151.179:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://219.142.151.179:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://219.142.151.179:9901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=1&authid=0

CCTV6,http://219.142.151.179:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://219.142.151.179:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://219.142.151.179:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://219.142.151.179:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://219.142.151.179:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://219.142.151.179:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://219.142.151.179:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://219.142.151.179:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://219.142.151.179:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://219.142.151.179:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16,http://219.142.151.179:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://219.142.151.179:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://125.40.191.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://125.40.191.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://125.40.191.58:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://125.40.191.58:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://125.40.191.58:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://125.40.191.58:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://125.40.191.58:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://125.40.191.58:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://125.40.191.58:9901/tsfile/live/0009_2.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://125.40.191.58:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://125.40.191.58:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://125.40.191.58:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://125.40.191.58:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://125.40.191.58:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15-音乐,http://125.40.191.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
大陆省市,#genre#
东方卫视,http://112.19.214.90:8883/tsfile/live/0107_1.m3u8
贵州卫视,http://112.19.214.90:8883/tsfile/live/0120_1.m3u8
北京卫视,http://112.19.214.90:8883/tsfile/live/0122_1.m3u8
四川卫视,http://112.19.214.90:8883/tsfile/live/0123_1.m3u8
广东卫视,http://112.19.214.90:8883/tsfile/live/0125_1.m3u8
浙江卫视,http://112.19.214.90:8883/tsfile/live/0124_1.m3u8
深圳卫视,http://112.19.214.90:8883/tsfile/live/0126_1.m3u8
江苏卫视,http://112.19.214.90:8883/tsfile/live/0127_1.m3u8
湖南卫视,http://112.19.214.90:8883/tsfile/live/0128_1.m3u8
山东卫视,http://112.19.214.90:8883/tsfile/live/0131_1.m3u8
湖北卫视,http://112.19.214.90:8883/tsfile/live/0132_1.m3u8
安徽卫视,http://112.19.214.90:8883/tsfile/live/0130_1.m3u8
天津卫视,http://112.19.214.90:8883/tsfile/live/0135_1.m3u8
青海卫视,http://112.19.214.90:8883/tsfile/live/0140_1.m3u8
重庆卫视,http://112.19.214.90:8883/tsfile/live/0142_1.m3u8
海南卫视,http://112.19.214.90:8883/tsfile/live/1000_1.m3u8
新疆卫视,http://112.19.214.90:8883/tsfile/live/0110_1.m3u8
云南卫视,http://112.19.214.90:8883/tsfile/live/0119_1.m3u8
西藏卫视,http://112.19.214.90:8883/tsfile/live/0111_1.m3u8
黑龙江卫视,http://112.19.214.90:8883/tsfile/live/0143_1.m3u8
康巴卫视,http://112.19.214.90:8883/tsfile/live/1010_1.m3u8
东南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225657/index.m3u8
东南卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225585/index.m3u8?fmt=ts2hls
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225658/index.m3u8
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225489/index.m3u8?fmt=ts2hls
东方卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225659/index.m3u8
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225673/index.m3u8
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225600/index.m3u8?fmt=ts2hls
北京卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225674/index.m3u8
四川卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225487/index.m3u8?fmt=ts2hls
天津卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225739/index.m3u8
天津卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225485/index.m3u8?fmt=ts2hls
天津卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225698/index.m3u8
安徽卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225737/index.m3u8
安徽卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225691/index.m3u8
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225738/index.m3u8
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225484/index.m3u8?fmt=ts2hls
山东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225697/index.m3u8
广东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225742/index.m3u8
广东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225597/index.m3u8?fmt=ts2hls
广东卫视 ,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225701/index.m3u8
